CPU,CPU Value (Mark/Price),CPU Mark,Price
AMD Ryzen 5 1600,(87.0%)102.0,12346,$120.99
AMD Ryzen 5 1600X,(83.3%)97.8,12974,$132.67
Intel Core i3-10100F,(82.8%)97.2,8854,$91.11
AMD Ryzen 7 1700,(80.8%)94.8,14693,$154.99
AMD Ryzen Threadripper 1900X,(80.5%)94.4,16940,$179.39
AMD Ryzen 7 1700X,(78.7%)92.4,15529,$168.06
Intel Core i3-10105F,(78.4%)92.0,9195,$99.99
Intel Core i5-11600K,(77.4%)90.8,19973,$219.99
Intel Core i5-11400F,(76.2%)89.4,17621,$197.00
AMD Ryzen 5 2600X,(74.0%)86.9,14070,$161.99
Intel Core i5-11600KF,(74.0%)86.8,19961,$229.99
AMD Ryzen 7 1800X,(71.9%)84.4,16290,$193.04
AMD Ryzen 7 5800X,(71.2%)83.5,28472,$340.99
AMD Ryzen 5 3600,(69.1%)81.1,17841,$219.99
AMD Ryzen 5 1400,(68.9%)80.8,7809,$96.60
Intel Core i5-12600K,(68.6%)80.5,24151,$299.99
Intel Core i5-11400,(68.6%)80.5,17226,$214.05
AMD Ryzen 5 5600X,(67.9%)79.7,22157,$278.03
AMD Ryzen 5 3600X,(67.9%)79.6,18301,$229.78
AMD Ryzen 7 2700,(66.9%)78.5,15684,$199.90
AMD Ryzen 7 5700G,(66.1%)77.6,24825,$319.99
AMD Ryzen 5 1500X,(65.9%)77.3,9077,$117.39
AMD Ryzen 9 5900X,(64.3%)75.4,39526,$524.00
Intel Core i5-10400,(64.2%)75.4,12360,$164.00
Intel Core i5-10400F,(63.9%)75.0,12445,$165.99
Intel Core i7-11700KF,(63.5%)74.5,24583,$329.99
Intel Core i7-12700KF,(63.0%)74.0,30323,$409.99
AMD Ryzen 7 2700X,(62.9%)73.8,17597,$238.42
Intel Core i7-11700K,(61.4%)72.0,25145,$348.99
Intel Core i3-10105,(61.3%)72.0,8864,$123.18
AMD Ryzen 7 3800X,(60.2%)70.6,23310,$329.99
AMD Ryzen 5 3500X,(60.0%)70.4,13367,$189.96
Intel Core i7-11700F,(59.4%)69.7,21621,$309.99
Intel Core i5-11500,(59.3%)69.6,17883,$256.84
AMD Ryzen 5 5600G,(58.9%)69.1,20008,$289.49
AMD Ryzen 7 3700X,(58.1%)68.2,22768,$333.75
Intel Core i3-10100,(57.9%)67.9,8828,$129.99
Intel Core i5-10600KF,(57.7%)67.7,14590,$215.61
AMD Ryzen 9 5950X,(55.4%)65.1,46188,$709.99
Intel Core i3-10320,(55.3%)64.9,10129,$155.99
Intel Core i5-10600K,(54.0%)63.3,14569,$229.99
Intel Core i5-11600,(53.9%)63.2,18328,$289.99
AMD Ryzen 9 3900X,(53.8%)63.1,32802,$519.97
AMD Ryzen 7 4700G,(53.5%)62.8,20031,$319.00
Intel Core i9-7920X,(53.5%)62.7,23524,$375.00
AMD Ryzen 7 3800XT,(52.9%)62.1,23906,$384.99
Intel Core i9-7900X,(52.4%)61.5,21414,$347.99
AMD Ryzen 5 PRO 4650G,(51.5%)60.5,16462,$272.21
Intel Core i9-12900K,(51.2%)60.1,37177,$618.99
Intel Core i7-10700F,(50.9%)59.8,17037,$284.99
Intel Core i9-12900KF,(50.8%)59.6,36918,$619.57
Intel Core i5-10500,(50.2%)58.9,13185,$223.89
Intel Core i5-9400F,(49.9%)58.6,9547,$162.99
Intel Core i7-11700,(49.7%)58.3,21032,$360.91
Intel Core i9-11900F,(49.0%)57.5,24170,$419.99
Intel Core i7-10700KF,(48.9%)57.4,19235,$334.90
Intel Core i7-10700K,(47.3%)55.5,19425,$349.99
Intel Core i7-8700,(46.8%)54.9,13063,$238.00
Intel Core i9-10900KF,(46.3%)54.3,23775,$437.99
Intel Core i5-9600KF,(46.2%)54.2,10844,$199.96
Intel Core i5-9600K,(46.0%)54.0,10801,$199.99
Intel Core i5-9500F,(45.9%)53.9,10303,$191.15
AMD Ryzen 9 3900,(45.7%)53.7,30740,$572.96
Intel Core i5-9400,(44.9%)52.7,9493,$179.99
Intel Core i9-10850K,(44.9%)52.7,23330,$443.05
Intel Core i9-11900,(44.5%)52.2,23512,$449.99
Intel Core i9-9900KF,(43.8%)51.4,18777,$364.99
Intel Core i5-10600,(43.6%)51.1,14014,$273.98
AMD Ryzen 5 3600XT,(43.3%)50.9,18817,$369.99
Intel Core i5-8500,(43.1%)50.6,9619,$190.00
Intel Core i9-10900K,(43.0%)50.5,23978,$475.00
AMD Ryzen 7 PRO 4750G,(42.9%)50.4,20593,$408.88
Intel Core i9-10900,(42.8%)50.2,20697,$411.91
Intel Core i9-11900KF,(42.2%)49.6,25778,$519.99
AMD Ryzen 5 2600,(41.8%)49.1,13207,$269.00
Intel Core i7-7740X,(41.8%)49.1,9814,$200.00
Intel Core i9-7940X,(41.4%)48.6,26677,$549.14
Intel Xeon E-2136,(41.0%)48.1,13506,$281.00
Intel Core i7-9700K,(40.3%)47.3,14564,$307.97
Intel Core i3-9100F,(40.2%)47.2,6763,$143.28
Intel Core i9-9900K,(40.2%)47.2,18817,$399.00
Intel Core i9-11900K,(39.8%)46.7,25670,$549.99
Intel Core i7-9700KF,(39.5%)46.4,14567,$314.00
AMD Ryzen 3 3100,(39.5%)46.4,11692,$252.05
Intel Core i5-9500,(39.5%)46.3,9766,$210.90
AMD Ryzen 3 1200,(37.1%)43.6,6287,$144.29
AMD Ryzen 5 2400G,(36.9%)43.3,8731,$201.88
Intel Core i7-9700F,(36.8%)43.2,13503,$312.83
Intel Core i7-10700,(36.6%)43.0,17183,$399.99
Intel Core i9-9900,(36.6%)43.0,17009,$395.98
Intel Core i3-9100,(36.5%)42.8,6610,$154.33
Intel Xeon E-2146G,(36.5%)42.8,13471,$314.87
Intel Core i7-9700,(35.7%)41.9,13411,$319.99
AMD Ryzen 9 3950X,(35.1%)41.2,39169,$951.16
Intel Core i5-9600,(34.6%)40.6,10467,$257.69
Intel Core i5-8400,(34.1%)40.0,9209,$230.00
Intel Core i7-8700K,(33.9%)39.8,13893,$349.00
AMD Ryzen 5 3400G,(33.8%)39.7,9349,$235.63
AMD Ryzen Threadripper 2920X,(33.5%)39.3,25536,$649.00
AMD Ryzen 3 1300X,(33.5%)39.3,6888,$175.36